title,Category,Category Description,Published,summary
Informed Dataset Selection,cs.IR,Unknown Category,2025-09-30,"The selection of datasets in recommender systems research lacks a systematic
methodology. Researchers often select datasets based on popularity rather than
empirical suitability. We developed the APS Explorer, a web application that
implements the Algorithm Performance Space (APS) framework for informed dataset
selection. The system analyzes 96 datasets using 28 algorithms across three
metrics (nDCG, Hit Ratio, Recall) at five K-values. We extend the APS framework
with a statistical based classification system that categorizes datasets into
five difficulty levels based on quintiles. We also introduce a
variance-normalized distance metric based on Mahalanobis distance to measure
similarity. The APS Explorer was successfully developed with three interactive
modules for visualizing algorithm performance, direct comparing algorithms, and
analyzing dataset metadata. This tool shifts the process of selecting datasets
from intuition-based to evidence-based practices, and it is publicly available
at datasets.recommender-systems.com."
Stabilization of nonlinear systems with unknown delays via delay-adaptive neural operator approximate predictors,eess.SY,Unknown Category,2025-09-30,"This work establishes the first rigorous stability guarantees for approximate
predictors in delay-adaptive control of nonlinear systems, addressing a key
challenge in practical implementations where exact predictors are unavailable.
We analyze two scenarios: (i) when the actuated input is directly measurable,
and (ii) when it is estimated online. For the measurable input case, we prove
semi-global practical asymptotic stability with an explicit bound proportional
to the approximation error $\epsilon$. For the unmeasured input case, we
demonstrate local practical asymptotic stability, with the region of attraction
explicitly dependent on both the initial delay estimate and the predictor
approximation error. To bridge theory and practice, we show that neural
operators-a flexible class of neural network-based approximators-can achieve
arbitrarily small approximation errors, thus satisfying the conditions of our
stability theorems. Numerical experiments on two nonlinear benchmark systems-a
biological protein activator/repressor model and a micro-organism growth
Chemostat model-validate our theoretical results. In particular, our numerical
simulations confirm stability under approximate predictors, highlight the
strong generalization capabilities of neural operators, and demonstrate a
substantial computational speedup of up to 15x compared to a baseline
fixed-point method."
Extensions of Robbins-Siegmund Theorem with Applications in Reinforcement Learning,cs.LG,Machine Learning,2025-09-30,"The Robbins-Siegmund theorem establishes the convergence of stochastic
processes that are almost supermartingales and is foundational for analyzing a
wide range of stochastic iterative algorithms in stochastic approximation and
reinforcement learning (RL). However, its original form has a significant
limitation as it requires the zero-order term to be summable. In many important
RL applications, this summable condition, however, cannot be met. This
limitation motivates us to extend the Robbins-Siegmund theorem for almost
supermartingales where the zero-order term is not summable but only square
summable. Particularly, we introduce a novel and mild assumption on the
increments of the stochastic processes. This together with the square summable
condition enables an almost sure convergence to a bounded set. Additionally, we
further provide almost sure convergence rates, high probability concentration
bounds, and $L^p$ convergence rates. We then apply the new results in
stochastic approximation and RL. Notably, we obtain the first almost sure
convergence rate, the first high probability concentration bound, and the first
$L^p$ convergence rate for $Q$-learning with linear function approximation."
Transformer Classification of Breast Lesions: The BreastDCEDL_AMBL Benchmark Dataset and 0.92 AUC Baseline,cs.AI,Artificial Intelligence,2025-09-30,"The error is caused by special characters that arXiv's system doesn't
recognize. Here's the cleaned version with all problematic characters replaced:
Breast magnetic resonance imaging is a critical tool for cancer detection and
treatment planning, but its clinical utility is hindered by poor specificity,
leading to high false-positive rates and unnecessary biopsies. This study
introduces a transformer-based framework for automated classification of breast
lesions in dynamic contrast-enhanced MRI, addressing the challenge of
distinguishing benign from malignant findings. We implemented a SegFormer
architecture that achieved an AUC of 0.92 for lesion-level classification, with
100% sensitivity and 67% specificity at the patient level - potentially
eliminating one-third of unnecessary biopsies without missing malignancies. The
model quantifies malignant pixel distribution via semantic segmentation,
producing interpretable spatial predictions that support clinical
decision-making. To establish reproducible benchmarks, we curated
BreastDCEDL_AMBL by transforming The Cancer Imaging Archive's AMBL collection
into a standardized deep learning dataset with 88 patients and 133 annotated
lesions (89 benign, 44 malignant). This resource addresses a key infrastructure
gap, as existing public datasets lack benign lesion annotations, limiting
benign-malignant classification research. Training incorporated an expanded
cohort of over 1,200 patients through integration with BreastDCEDL datasets,
validating transfer learning approaches despite primary tumor-only annotations.
Public release of the dataset, models, and evaluation protocols provides the
first standardized benchmark for DCE-MRI lesion classification, enabling
methodological advancement toward clinical deployment."
Unwinding Rotations Reduces VR Sickness in Nonsimulated Immersive Telepresence,cs.RO,Unknown Category,2025-09-30,"Immersive telepresence, when a user views the video stream of a $360^\circ$
camera in a remote environment using a Head Mounted Display (HMD), has great
potential to improve the sense of being in a remote environment. In most cases
of immersive robotic telepresence, the camera is mounted on a mobile robot
which increases the portion of the environment that the remote user can
explore. However, robot motions can induce unpleasant symptoms associated with
Virtual Reality (VR) sickness, degrading the overall user experience. Previous
research has shown that unwinding the rotations of the robot, that is,
decoupling the rotations that the camera undergoes due to robot motions from
what is seen by the user, can increase user comfort and reduce VR sickness.
However, that work considered a virtual environment and a simulated robot. In
this work, to test whether the same hypotheses hold when the video stream from
a real camera is used, we carried out a user study $(n=36)$ in which the
unwinding rotations method was compared against coupled rotations in a task
completed through a panoramic camera mounted on a robotic arm. Furthermore,
within an inspection task which involved translations and rotations in three
dimensions, we tested whether unwinding the robot rotations impacted the
performance of users. The results show that the users found the unwinding
rotations method to be more comfortable and preferable, and that a reduced
level of VR sickness can be achieved without a significant impact on task
performance."
Finite element discretizations of bending plates with prestrained microstructure,math.NA,Unknown Category,2025-09-30,"We investigate a finite element discretization of an elastic bending-plate
model with an effective prestrain. The model has been obtained via
homogenization and dimension reduction by B\""onlein at al. (2023). Its energy
functional is the $\Gamma$-limit of a three-dimensional nonlinear
microstructured elasticity functional. In the derived effective model, the
microstructure is incorporated as a local corrector problem, a system of linear
elliptic partial differential equations posed on a three-dimensional
representative volume element. The discretization uses Discrete Kirchhoff
Triangle elements for the macroscopic bending-plate problem on a mesh of scale
$H$, and first-order Lagrange elements for the microscopic corrector problem on
an axis-aligned mesh of scale $h$. We show that the discretized model
$\Gamma$-converges to the continuous one as $(h,H)\to 0$,provided that there
exists a microstructure mesh such that the elasticity tensor is Lipschitz
continuous on each mesh element. This extends earlier results by Rumpf et al.
(2024) to prestrained composites. Our argument does not require any rate of
convergence for the microscopic discretization error. As a corollary, we also
obtain convergence when $h \to 0$ and $H \to 0$ consecutively, and we prove
that these limit processes commute."
Post-Training Quantization via Residual Truncation and Zero Suppression for Diffusion Models,cs.CV,Computer Vision,2025-09-30,"Diffusion models achieve high-quality image generation but face deployment
challenges due to their high computational requirements. Although 8-bit
outlier-aware post-training quantization (PTQ) matches full-precision
performance, extending PTQ to 4 bits remains challenging. Larger step sizes in
4-bit quantization amplify rounding errors in dense, low-magnitude activations,
leading to the loss of fine-grained textures. We hypothesize that not only
outliers but also small activations are critical for texture fidelity. To this
end, we propose Quantization via Residual Truncation and Zero Suppression
(QuaRTZ), a 4-bit PTQ scheme for diffusion models. QuaRTZ applies 8-bit min-max
quantization for outlier handling and compresses to 4 bits via leading-zero
suppression to retain LSBs, thereby preserving texture details. Our approach
reduces rounding errors and improves quantization efficiency by balancing
outlier preservation and LSB precision. Both theoretical derivations and
empirical evaluations demonstrate the generalizability of QuaRTZ across diverse
activation distributions. Notably, 4-bit QuaRTZ achieves an FID of 6.98 on
FLUX.1-schnell, outperforming SVDQuant that requires auxiliary FP16 branches."
"The Grammar of FAIR: A Granular Architecture of Semantic Units for FAIR Semantics, Inspired by Biology and Linguistics",cs.DB,Unknown Category,2025-09-30,"The FAIR Principles aim to make data and knowledge Findable, Accessible,
Interoperable, and Reusable, yet current digital infrastructures often lack a
unifying semantic framework that bridges human cognition and
machine-actionability. In this paper, we introduce the Grammar of FAIR: a
granular and modular architecture for FAIR semantics built on the concept of
semantic units. Semantic units, comprising atomic statement units and composite
compound units, implement the principle of semantic modularisation, decomposing
data and knowledge into independently identifiable, semantically meaningful,
and machine-actionable units. A central metaphor guiding our approach is the
analogy between the hierarchy of level of organisation in biological systems
and the hierarchy of levels of organisation in information systems: both are
structured by granular building blocks that mediate across multiple
perspectives while preserving functional unity. Drawing further inspiration
from concept formation and natural language grammar, we show how these building
blocks map to FAIR Digitial Objects (FDOs), enabling format-agnostic semantic
transitivity from natural language token models to schema-based
representations. This dual biological-linguistic analogy provides a
semantics-first foundation for evolving cross-ecosystem infrastructures, paving
the way for the Internet of FAIR Data and Services (IFDS) and a future of
modular, AI-ready, and citation-granular scholarly communication."
Adaptive Planning for Multi-Attribute Controllable Summarization with Monte Carlo Tree Search,cs.CL,Computation and Language,2025-09-30,"Controllable summarization moves beyond generic outputs toward human-aligned
summaries guided by specified attributes. In practice, the interdependence
among attributes makes it challenging for language models to satisfy correlated
constraints consistently. Moreover, previous approaches often require
per-attribute fine-tuning, limiting flexibility across diverse summary
attributes. In this paper, we propose adaptive planning for multi-attribute
controllable summarization (PACO), a training-free framework that reframes the
task as planning the order of sequential attribute control with a customized
Monte Carlo Tree Search (MCTS). In PACO, nodes represent summaries, and actions
correspond to single-attribute adjustments, enabling progressive refinement of
only the attributes requiring further control. This strategy adaptively
discovers optimal control orders, ultimately producing summaries that
effectively meet all constraints. Extensive experiments across diverse domains
and models demonstrate that PACO achieves robust multi-attribute
controllability, surpassing both LLM-based self-planning models and fine-tuned
baselines. Remarkably, PACO with Llama-3.2-1B rivals the controllability of the
much larger Llama-3.3-70B baselines. With larger models, PACO achieves superior
control performance, outperforming all competitors."
ACT: Agentic Classification Tree,cs.LG,Machine Learning,2025-09-30,"When used in high-stakes settings, AI systems are expected to produce
decisions that are transparent, interpretable, and auditable, a requirement
increasingly expected by regulations. Decision trees such as CART provide clear
and verifiable rules, but they are restricted to structured tabular data and
cannot operate directly on unstructured inputs such as text. In practice, large
language models (LLMs) are widely used for such data, yet prompting strategies
such as chain-of-thought or prompt optimization still rely on free-form
reasoning, limiting their ability to ensure trustworthy behaviors. We present
the Agentic Classification Tree (ACT), which extends decision-tree methodology
to unstructured inputs by formulating each split as a natural-language
question, refined through impurity-based evaluation and LLM feedback via
TextGrad. Experiments on text benchmarks show that ACT matches or surpasses
prompting-based baselines while producing transparent and interpretable
decision paths."
AdaBlock-dLLM: Semantic-Aware Diffusion LLM Inference via Adaptive Block Size,cs.LG,Machine Learning,2025-09-30,"Diffusion-based large language models (dLLMs) are gaining attention for their
inherent capacity for parallel decoding, offering a compelling alternative to
autoregressive LLMs. Among various decoding strategies, blockwise
semi-autoregressive (semi-AR) approaches are widely adopted due to their
natural support for KV caching and their favorable accuracy-speed trade-off.
However, this paper identifies two fundamental limitations in the conventional
semi-AR decoding approach that applies a fixed block size: i) late decoding
overhead, where the unmasking of high-confidence tokens outside the current
block is unnecessarily delayed, and ii) premature decoding error, where
low-confidence tokens inside the current block are committed too early, leading
to incorrect tokens. This paper presents the first systematic investigation
challenging the fixed block size assumption in semi-AR decoding. Through a
statistical analysis of confidence dynamics during the denoising process, we
identify a volatility band (VB) region during dLLM decoding, which encodes
local semantic structure and can be used to guide adaptive block sizing.
Leveraging these insights, we introduce AdaBlock-dLLM, a training-free,
plug-and-play scheduler that adaptively aligns block boundaries with semantic
steps by adjusting block size during runtime. Extensive experiments across
diverse benchmarks show that AdaBlock-dLLM achieves up to 5.3% accuracy
improvement under the same throughput budget. Beyond inference-time
optimization, we hope our semantics-aware adaptive scheduling approach and
confidence-based analysis will inspire future training strategies for dLLMs."
Text-Based Approaches to Item Alignment to Content Standards in Large-Scale Reading & Writing Tests,cs.CL,Computation and Language,2025-09-30,"Aligning test items to content standards is a critical step in test
development to collect validity evidence based on content. Item alignment has
typically been conducted by human experts. This judgmental process can be
subjective and time-consuming. This study investigated the performance of
fine-tuned small language models (SLMs) for automated item alignment using data
from a large-scale standardized reading and writing test for college
admissions. Different SLMs were trained for alignment at both domain and skill
levels respectively with 10 skills mapped to 4 content domains. The model
performance was evaluated in multiple criteria on two testing datasets. The
impact of types and sizes of the input data for training was investigated.
Results showed that including more item text data led to substantially better
model performance, surpassing the improvements induced by sample size increase
alone. For comparison, supervised machine learning models were trained using
the embeddings from the multilingual-E5-large-instruct model. The study results
showed that fine-tuned SLMs consistently outperformed the embedding-based
supervised machine learning models, particularly for the more fine-grained
skill alignment. To better understand model misclassifications, multiple
semantic similarity analysis including pairwise cosine similarity,
Kullback-Leibler divergence of embedding distributions, and two-dimension
projections of item embeddings were conducted. These analyses consistently
showed that certain skills in SAT and PSAT were semantically too close,
providing evidence for the observed misclassification."
An Orthogonal Learner for Individualized Outcomes in Markov Decision Processes,stat.ML,Unknown Category,2025-09-30,"Predicting individualized potential outcomes in sequential decision-making is
central for optimizing therapeutic decisions in personalized medicine (e.g.,
which dosing sequence to give to a cancer patient). However, predicting
potential outcomes over long horizons is notoriously difficult. Existing
methods that break the curse of the horizon typically lack strong theoretical
guarantees such as orthogonality and quasi-oracle efficiency. In this paper, we
revisit the problem of predicting individualized potential outcomes in
sequential decision-making (i.e., estimating Q-functions in Markov decision
processes with observational data) through a causal inference lens. In
particular, we develop a comprehensive theoretical foundation for meta-learners
in this setting with a focus on beneficial theoretical properties. As a result,
we yield a novel meta-learner called DRQ-learner and establish that it is: (1)
doubly robust (i.e., valid inference under the misspecification of one of the
nuisances), (2) Neyman-orthogonal (i.e., insensitive to first-order estimation
errors in the nuisance functions), and (3) achieves quasi-oracle efficiency
(i.e., behaves asymptotically as if the ground-truth nuisance functions were
known). Our DRQ-learner is applicable to settings with both discrete and
continuous state spaces. Further, our DRQ-learner is flexible and can be used
together with arbitrary machine learning models (e.g., neural networks). We
validate our theoretical results through numerical experiments, thereby showing
that our meta-learner outperforms state-of-the-art baselines."
Real-time Velocity Profile Optimization for Time-Optimal Maneuvering with Generic Acceleration Constraints,cs.RO,Unknown Category,2025-09-30,"The computation of time-optimal velocity profiles along prescribed paths,
subject to generic acceleration constraints, is a crucial problem in robot
trajectory planning, with particular relevance to autonomous racing. However,
the existing methods either support arbitrary acceleration constraints at high
computational cost or use conservative box constraints for computational
efficiency. We propose FBGA, a new \underline{F}orward-\underline{B}ackward
algorithm with \underline{G}eneric \underline{A}cceleration constraints, which
achieves both high accuracy and low computation time. FBGA operates forward and
backward passes to maximize the velocity profile in short, discretized path
segments, while satisfying user-defined performance limits. Tested on five
racetracks and two vehicle classes, FBGA handles complex, non-convex
acceleration constraints with custom formulations. Its maneuvers and lap times
closely match optimal control baselines (within $0.11\%$-$0.36\%$), while being
up to three orders of magnitude faster. FBGA maintains high accuracy even with
coarse discretization, making it well-suited for online multi-query trajectory
planning. Our open-source \texttt{C++} implementation is available at:
https://anonymous.4open.science/r/FB_public_RAL."
Ascent Fails to Forget,cs.LG,Machine Learning,2025-09-30,"Contrary to common belief, we show that gradient ascent-based unconstrained
optimization methods frequently fail to perform machine unlearning, a
phenomenon we attribute to the inherent statistical dependence between the
forget and retain data sets. This dependence, which can manifest itself even as
simple correlations, undermines the misconception that these sets can be
independently manipulated during unlearning. We provide empirical and
theoretical evidence showing these methods often fail precisely due to this
overlooked relationship. For random forget sets, this dependence means that
degrading forget set metrics (which, for a retrained model, should mirror test
set metrics) inevitably harms overall test performance. Going beyond random
sets, we consider logistic regression as an instructive example where a
critical failure mode emerges: inter-set dependence causes gradient
descent-ascent iterations to progressively diverge from the ideal retrained
model. Strikingly, these methods can converge to solutions that are not only
far from the retrained ideal but are potentially even further from it than the
original model itself, rendering the unlearning process actively detrimental. A
toy example further illustrates how this dependence can trap models in inferior
local minima, inescapable via finetuning. Our findings highlight that the
presence of such statistical dependencies, even when manifest only as
correlations, can be sufficient for ascent-based unlearning to fail. Our
theoretical insights are corroborated by experiments on complex neural
networks, demonstrating that these methods do not perform as expected in
practice due to this unaddressed statistical interplay."
Improved Approximation for Broadcasting in k-cycle Graphs,cs.DS,Unknown Category,2025-09-30,"Broadcasting is an information dissemination primitive where a message
originates at a node (called the originator) and is passed to all other nodes
in the network. Broadcasting research is motivated by efficient network design
and determining the broadcast times of standard network topologies. Verifying
the broadcast time of a node $v$ in an arbitrary network $G$ is known to be
NP-hard. Additionally, recent findings show that the broadcast time problem is
also NP-complete in general cactus graphs and some highly restricted
subfamilies of cactus graphs. These graph families are structurally similar to
$k$-cycle graphs, in which the broadcast time problem is also believed to be
NP-complete. In this paper, we present a simple $(1.5-\epsilon)$-approximation
algorithm for determining the broadcast time of networks modeled using
$k$-cycle graphs, where $\epsilon > 0$ depends on the structure of the graph."
Institutional Policy Pathways for Supporting Research Software: Global Trends and Local Practices,cs.SE,Unknown Category,2025-09-30,"As research software becomes increasingly central to modern science,
research-performing organisations (RPOs) need to ensure that their investment
in people, skills and infrastructure around research software produces
sustainable and maintainable software that improves the research they perform,
which in turn improves the overall institution and its reputation and funding,
for example, by competing with peers who lack this approach. However, research
institution management and recognition of research software and its personnel
has mostly often developed in an ad hoc manner. RPO training infrastructures,
recognition and reward structures, have not developed at a sufficient rate to
support and encourage both the widespread use of research software best
practices and the long-term support for technical roles that is required. To
begin to address this fundamental problem for modern research environments,
RPOs must implement and adopt robust policies to support research software
development, use, and sustainability. Despite growing momentum from funders and
publishers around FAIR and open science principles, research
institutional-level policies specifically addressing research software remain
limited or lacking in breadth.
  This article outlines the work of the Policies in Research Organisations for
Research Software (PRO4RS) Working Group (WG), a joint initiative of the
Research Software Alliance (ReSA) and the Research Data Alliance (RDA), which
examined and advanced research software policy development across institutions
worldwide. After consideration of the rationale for institutional policies on
research software, the PRO4RS WG outputs and analysis are utilised to highlight
critical policy gaps, particularly related to consideration of research
software personnel in policy work focused on reform of research assessment."
OntoAligner Meets Knowledge Graph Embedding Aligners,cs.AI,Artificial Intelligence,2025-09-30,"Ontology Alignment (OA) is essential for enabling semantic interoperability
across heterogeneous knowledge systems. While recent advances have focused on
large language models (LLMs) for capturing contextual semantics, this work
revisits the underexplored potential of Knowledge Graph Embedding (KGE) models,
which offer scalable, structure-aware representations well-suited to
ontology-based tasks. Despite their effectiveness in link prediction, KGE
methods remain underutilized in OA, with most prior work focusing narrowly on a
few models. To address this gap, we reformulate OA as a link prediction problem
over merged ontologies represented as RDF-style triples and develop a modular
framework, integrated into the OntoAligner library, that supports 17 diverse
KGE models. The system learns embeddings from a combined ontology and aligns
entities by computing cosine similarity between their representations. We
evaluate our approach using standard metrics across seven benchmark datasets
spanning five domains: Anatomy, Biodiversity, Circular Economy, Material
Science and Engineering, and Biomedical Machine Learning. Two key findings
emerge: first, KGE models like ConvE and TransF consistently produce
high-precision alignments, outperforming traditional systems in structure-rich
and multi-relational domains; second, while their recall is moderate, this
conservatism makes KGEs well-suited for scenarios demanding high-confidence
mappings. Unlike LLM-based methods that excel at contextual reasoning, KGEs
directly preserve and exploit ontology structure, offering a complementary and
computationally efficient strategy. These results highlight the promise of
embedding-based OA and open pathways for further work on hybrid models and
adaptive strategies."
Automatic Fact-checking in English and Telugu,cs.CL,Computation and Language,2025-09-30,"False information poses a significant global challenge, and manually
verifying claims is a time-consuming and resource-intensive process. In this
research paper, we experiment with different approaches to investigate the
effectiveness of large language models (LLMs) in classifying factual claims by
their veracity and generating justifications in English and Telugu. The key
contributions of this work include the creation of a bilingual English-Telugu
dataset and the benchmarking of different veracity classification approaches
based on LLMs."
PRISM: Progressive Rain removal with Integrated State-space Modeling,cs.CV,Computer Vision,2025-09-30,"Image deraining is an essential vision technique that removes rain streaks
and water droplets, enhancing clarity for critical vision tasks like autonomous
driving. However, current single-scale models struggle with fine-grained
recovery and global consistency. To address this challenge, we propose
Progressive Rain removal with Integrated State-space Modeling (PRISM), a
progressive three-stage framework: Coarse Extraction Network (CENet), Frequency
Fusion Network (SFNet), and Refine Network (RNet). Specifically, CENet and
SFNet utilize a novel Hybrid Attention UNet (HA-UNet) for multi-scale feature
aggregation by combining channel attention with windowed spatial transformers.
Moreover, we propose Hybrid Domain Mamba (HDMamba) for SFNet to jointly model
spatial semantics and wavelet domain characteristics. Finally, RNet recovers
the fine-grained structures via an original-resolution subnetwork. Our model
learns high-frequency rain characteristics while preserving structural details
and maintaining global context, leading to improved image quality. Our method
achieves competitive results on multiple datasets against recent deraining
methods."
TrackFormers Part 2: Enhanced Transformer-Based Models for High-Energy Physics Track Reconstruction,hep-ex,Unknown Category,2025-09-30,"High-Energy Physics experiments are rapidly escalating in generated data
volume, a trend that will intensify with the upcoming High-Luminosity LHC
upgrade. This surge in data necessitates critical revisions across the data
processing pipeline, with particle track reconstruction being a prime candidate
for improvement. In our previous work, we introduced ""TrackFormers"", a
collection of Transformer-based one-shot encoder-only models that effectively
associate hits with expected tracks. In this study, we extend our earlier
efforts by incorporating loss functions that account for inter-hit
correlations, conducting detailed investigations into (various) Transformer
attention mechanisms, and a study on the reconstruction of higher-level
objects. Furthermore we discuss new datasets that allow the training on hit
level for a range of physics processes. These developments collectively aim to
boost both the accuracy, and potentially the efficiency of our tracking models,
offering a robust solution to meet the demands of next-generation high-energy
physics experiments."
An Annotation Scheme for Factuality and its Application to Parliamentary Proceedings,cs.CL,Computation and Language,2025-09-30,"Factuality assesses the extent to which a language utterance relates to
real-world information; it determines whether utterances correspond to facts,
possibilities, or imaginary situations, and as such, it is instrumental for
fact checking. Factuality is a complex notion that relies on multiple
linguistic signals, and has been studied in various disciplines.
  We present a complex, multi-faceted annotation scheme of factuality that
combines concepts from a variety of previous works. We developed the scheme for
Hebrew, but we trust that it can be adapted to other languages. We also present
a set of almost 5,000 sentences in the domain of parliamentary discourse that
we manually annotated according to this scheme. We report on inter-annotator
agreement, and experiment with various approaches to automatically predict
(some features of) the scheme, in order to extend the annotation to a large
corpus."
"Refine Drugs, Don't Complete Them: Uniform-Source Discrete Flows for Fragment-Based Drug Discovery",cs.LG,Machine Learning,2025-09-30,"We introduce InVirtuoGen, a discrete flow generative model for fragmented
SMILES for de novo and fragment-constrained generation, and
target-property/lead optimization of small molecules. The model learns to
transform a uniform source over all possible tokens into the data distribution.
Unlike masked models, its training loss accounts for predictions on all
sequence positions at every denoising step, shifting the generation paradigm
from completion to refinement, and decoupling the number of sampling steps from
the sequence length. For \textit{de novo} generation, InVirtuoGen achieves a
stronger quality-diversity pareto frontier than prior fragment-based models and
competitive performance on fragment-constrained tasks. For property and lead
optimization, we propose a hybrid scheme that combines a genetic algorithm with
a Proximal Property Optimization fine-tuning strategy adapted to discrete
flows. Our approach sets a new state-of-the-art on the Practical Molecular
Optimization benchmark, measured by top-10 AUC across tasks, and yields higher
docking scores in lead optimization than previous baselines. InVirtuoGen thus
establishes a versatile generative foundation for drug discovery, from early
hit finding to multi-objective lead optimization. We further contribute to open
science by releasing pretrained checkpoints and code, making our results fully
reproducible\footnote{https://github.com/invirtuolabs/InVirtuoGen_results}."
SeedPrints: Fingerprints Can Even Tell Which Seed Your Large Language Model Was Trained From,cs.CR,Unknown Category,2025-09-30,"Fingerprinting Large Language Models (LLMs) is essential for provenance
verification and model attribution. Existing methods typically extract post-hoc
signatures based on training dynamics, data exposure, or hyperparameters --
properties that only emerge after training begins. In contrast, we propose a
stronger and more intrinsic notion of LLM fingerprinting: SeedPrints, a method
that leverages random initialization biases as persistent, seed-dependent
identifiers present even before training. We show that untrained models exhibit
reproducible token selection biases conditioned solely on their parameters at
initialization. These biases are stable and measurable throughout training,
enabling our statistical detection method to recover a model's lineage with
high confidence. Unlike prior techniques, unreliable before convergence and
vulnerable to distribution shifts, SeedPrints remains effective across all
training stages and robust under domain shifts or parameter modifications.
Experiments on LLaMA-style and Qwen-style models show that SeedPrints achieves
seed-level distinguishability and can provide birth-to-lifecycle identity
verification akin to a biometric fingerprint. Evaluations on large-scale
pretrained models and fingerprinting benchmarks further confirm its
effectiveness under practical deployment scenarios. These results suggest that
initialization itself imprints a unique and persistent identity on neural
language models, forming a true ''Galtonian'' fingerprint."
Commmunication-Efficient and Accurate Approach for Aggregation in Federated Low-Rank Adaptation,cs.AI,Artificial Intelligence,2025-09-30,"With the rapid emergence of foundation models and the increasing need for
fine-tuning across distributed environments, Federated Low-Rank Adaptation
(FedLoRA) has recently gained significant attention. Despite enormous
potential, current FedLoRA methods face notable challenges due to inexact
updates. Existing approaches have attempted to mitigate this issue, but they
often introduce a \emph{local-global generalization gap} and incur
\emph{substantial communication overhead}, limiting their scalability and
effectiveness. To address these limitations, we propose \textbf{F}ederated
\textbf{Lo}w-\textbf{R}ank \textbf{A}ggregation with \textbf{N}early
\textbf{A}ccurate Estimation (FLoRA-NA). FLoRA-NA leverages the local LoRA
matrices on the server to estimate the aggregated matrices $\hat{A}$ and
$\hat{B}$, which are then distributed to clients for local updates. This
surrogated aggregated matrices minimizes the divergence between ideal $\nabla
\Bar{W} = \sum^{U}_{u=1}B_u A_u$ and practical updates $\nabla \hat{W} =
\hat{B}\hat{A}$ without adding communication cost beyond vanilla FedLoRA. By
doing so, FLoRA-NA achieves communication efficiency and bridges the gap
between local personalization and global generalization, addressing a key
limitation of prior personalized FedLoRA approaches. We conduct extensive
evaluations across diverse tasks, including natural language understanding,
mathematical reasoning, and code-solving ability using various foundation
models. Experimental results consistently demonstrate that FLoRA-NA achieves
state-of-the-art global performance while maintaining low communication
overhead."
Image-Difficulty-Aware Evaluation of Super-Resolution Models,cs.CV,Computer Vision,2025-09-30,"Image super-resolution models are commonly evaluated by average scores (over
some benchmark test sets), which fail to reflect the performance of these
models on images of varying difficulty and that some models generate artifacts
on certain difficult images, which is not reflected by the average scores. We
propose difficulty-aware performance evaluation procedures to better
differentiate between SISR models that produce visually different results on
some images but yield close average performance scores over the entire test
set. In particular, we propose two image-difficulty measures, the
high-frequency index and rotation-invariant edge index, to predict those test
images, where a model would yield significantly better visual results over
another model, and an evaluation method where these visual differences are
reflected on objective measures. Experimental results demonstrate the
effectiveness of the proposed image-difficulty measures and evaluation
methodology."
Are neural scaling laws leading quantum chemistry astray?,physics.chem-ph,Unknown Category,2025-09-30,"Neural scaling laws are driving the machine learning community toward
training ever-larger foundation models across domains, assuring high accuracy
and transferable representations for extrapolative tasks. We test this promise
in quantum chemistry by scaling model capacity and training data from quantum
chemical calculations. As a generalization task, we evaluate the resulting
models' predictions of the bond dissociation energy of neutral H$_2$, the
simplest possible molecule. We find that, regardless of dataset size or model
capacity, models trained only on stable structures fail dramatically to even
qualitatively reproduce the H$_2$ energy curve. Only when compressed and
stretched geometries are explicitly included in training do the predictions
roughly resemble the correct shape. Nonetheless, the largest foundation models
trained on the largest and most diverse datasets containing dissociating
diatomics exhibit serious failures on simple diatomic molecules. Most
strikingly, they cannot reproduce the trivial repulsive energy curve of two
bare protons, revealing their failure to learn the basic Coulomb's law involved
in electronic structure theory. These results suggest that scaling alone is
insufficient for building reliable quantum chemical models."
Assessment of East-West (E-W) and South-North (S-N) facing Vertical Bifacial Photovoltaic Modules for Agrivoltaics and Dual-Land Use Applications in India,eess.SY,Unknown Category,2025-09-30,"Deploying vertical bifacial PV modules can play a significant role in
agrivoltaics, fencing walls, noise barriers, building integrated photovoltaics
(BIPV), solar PV for electric vehicles, and many other applications. This
research work presents the performance comparison of vertical bifacial
photovoltaic (VBPV) modules facing East-West (E-W) and South-North (S-N)
directions. Also, the VBPV modules are compared with vertical and tilted
south-facing monofacial PV modules. Six PV modules (monofacial and bifacial)
were installed at the rooftop of IIT Bhilai academic building, Raipur
(21.16{\deg} N, 81.65{\deg} E), India, and studied for a year from May 2022 to
April 2023. The results show that the E-W facing VBPV module gives two
production peaks, one in the morning and another in the evening, as compared to
the single notable rise at midday observed for a monofacial module. From a
series of experiments, 19 days of data were collected over the one-year period
from May 2022 to April 2023, with specific inclusion of important days like
solstices and equinoxes. In addition, the energy generation results are
compared with PVsyst simulations, while also addressing the limitations of the
PVsyst simulation of vertical PV modules. E-W bifacial generation is higher
than S-N bifacial and south-facing monofacial modules from February to April.
The VBPV modules in E-W and S-N orientations present a promising opportunity
for expanding the agrivoltaics sector in tropical and sub-tropical countries,
like India. This has huge implications for addressing the sustainable
development goals by simultaneously contributing to sustainable land
management, green energy generation, energy security and water conservation in
the vast geo-climatic expanse of tropics."
